id,name,address,city,country,postal_code,latitude,longitude,phone,email,website,description,image_url
22602825,28 May Mağazası,Azadlıq pros. V.Plotnikov və Ruhulla Axundov küçələrinin kəsişməsi,Bakı,Azərbaycan,,40.38483490,49.84183510,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,https://cdn.shopify.com/s/files/1/0748/2395/8833/files/28_may.jpg?v=1688552170
22602846,8-ci km mağazası,"Nizami r.,E.Süleymanov küç.122",Bakı,Azərbaycan,,40.40993750,49.95287380,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602822,Ağcabədi mağazası,Ağcabədi ray. H.Hacıyev küç (Mərkəzi xəstəxananın yanı),Ağcəbədi,Azərbaycan,,40.04415880,47.44482200,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,https://cdn.shopify.com/s/files/1/0748/2395/8833/files/Agcebedi.jpg?v=1688552174
62786420,Ağdaş Bazarstore,"Ağdaş şəh., 20 Yanvar küçəsi 9A",Ağdaş,Azerbaycan,,40.64185000,47.47442600,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602823,Ağstafa mağazası,"Ağstafa şəhəri, Heydər Əliyev prospekti 76",Ağstafa,Azərbaycan,,41.11326400,45.44354300,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602827,Azadlıq Bağçalı evlər mağazası,"Bakı ş. Mohsun Senani kuc,31",Bakı,Azərbaycan,,40.39868001,49.83672997,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602862,Azadlıq mağazası,Yusif Vəzir Çəmənzəminli küç 68 City Hospital yanı,Bakı,Azərbaycan,,40.40243750,49.83274880,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602826,Badamdar mağazası,Badamdar qəs.1-ci yaşayış massivi 1,Bakı,Azərbaycan,,40.34118750,49.80787380,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602830,Bakıxanov mağazası,Bakıxanov qəs.Gənclik pr.29,Bakı,Azərbaycan,,40.41793750,49.96224880,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
55968448,Baku City Residance,"Bakı şəhəri, Nizami rayonu, 4-cü uzununa və 9-cu köndələn küçələrinin kəsişməsi ",Nizami,,,40.41999594,49.90833829,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
55965176,Baku Mall,"Yasamal rayonu, Həsən bəy Zərdabi küçəsi, Qələbə dairəsi, Baku Mall",,,,40.38981671,49.80670631,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602831,Bayıl mağazası,Bayıl qəs Neftçi Qurban Abbasov küç 74,Bakı,Azərbaycan,,40.34306250,49.83637380,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,https://cdn.shopify.com/s/files/1/0748/2395/8833/files/Bayil.jpg?v=1688552169
22613545,Bazarstore Baş Ofis,"Bakı şəh., Binəqədi ray., Dərnəgül qəs., 108",Bakı,Azərbaycan,,40.42073178,49.86423775,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
62786427,Bazarstore Həsən Əliyev,"Bakı şəh., Nəsimi ray., Akademik Həsən Əliyev küç., 18 B",Nəsimi,Azerbaycan,,40.39808700,49.83067900,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
62786424,Bazarstore Salamzadə,"Bakı şəh., Nəsimi ray.,Əbdülvahab Salamzadə küç., 154A",Baki,Azerbaycan,,40.39850400,49.81727500,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602866,Bərdə mağazası,Bərdə şəhəri Bakı küç. 2A (Azpetrolun yanı),Bərdə,Azərbaycan,,40.37631250,47.13249880,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602832,Biləcəri mağazası,Biləcəri qəs.,Bakı,Azərbaycan,,40.42128760,49.79663620,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,https://cdn.shopify.com/s/files/1/0748/2395/8833/files/Bileceri.jpg?v=1688552186
22602867,Biləsuvar mağazası,"Bilesuvar,H Eliyev p 57",Bilesuvar,Azərbaycan,,39.45472810,48.54652760,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
22602833,Binə mağazası,Binə qəs Fuad Aynulov 61,Qaradağ,Azərbaycan,,40.44968750,50.08637380,(012) 404 19 70-75,info@bazarstore.az,https://bazarstore.az/,,
