id,title,slug,address,phone,working_hours,lat,lon
400,ATM Azpetrol Zəngilan,atm-azpetrol-zengilan,Zəngilan rayonu Ağalı Ə/V ev.5,138,24/7,39.180283,46.763699
401,ATM Azpetrol Bərdə,atm-azpetrol-berde,"Bərdə şəh., Bakı küç., ev 2",138,24/7,40.375751,47.134651
402,ATM İçəri Şəhər,atm-iceri-seher,"Bakı şəh., A.Zeynallı küç., 24",138,24/7,40.365620,49.835648
403,ATM Azpetrol Masallı,atm-azpetrol-masalli,"Masallı r-nu, Bakı-Astara şossesi",138,24/7,39.034184,48.684643
404,ATM Azpetrol Sabirabad,atm-azpetrol-sabirabad,"Sabirabad r-nu, Qalağayn kəndi",138,24/7,39.976891,48.454750
405,ATM Azpetrol Ələt,atm-azpetrol-elet,"Bakı şəhəri, Qaradağ rayonu, 66-cı km",138,24/7,40.296688,49.755451
406,ATM Azpetrol Qəbələ,atm-azpetrol-qebele,"Qəbələ rayonu, Qəbələ şəhəri, İ.Qutqaşınlı küç.",138,24/7,40.965103,47.835361
407,ATM Azpetrol Oğuz,atm-azpetrol-oguz,"Oğuz rayonu, Calud kəndi",138,24/7,41.052547,47.423134
408,ATM Azpetrol Ucar,atm-azpetrol-ucar,"Ucar rayonu, Bakı-Gəncə şossesi",138,24/7,40.494732,47.660625
409,ATM Azpetrol Ağsu,atm-azpetrol-agsu,"Ağsu rayonu, Bakı-Şamaxı yolunun Cənub tərəfi",138,24/7,40.580265,48.383495
410,ATM Azpetrol Balakən,atm-azpetrol-balaken,"Balakən şəhəri, H.Əliyev pr.",138,24/7,41.703049,46.428219
411,ATM Azpetrol Qax,atm-azpetrol-qax,"Qax rayonu, H.Əliyev pr.",138,24/7,41.416592,46.903564
412,ATM Azpetrol Sumqayıt,atm-azpetrol-sumqayit,"Sumqayıt şəhəri, Bakı-Quba yolu, 30-cu km",138,24/7,40.567715,49.631950
413,ATM Azpetrol Masazır,atm-azpetrol-masazir,"Bakı şəh., Abşeron r-nu, Saray qəs.",138,24/7,40.511688,49.753277
414,ATM Azpetrol H.Əliyev pr. 108 (NİİM),atm-azpetrol-heliyev-pr-108-niim,"Bakı şəh., Nizami r-nu, Heydər Əliyev pr., 108 D",138,24/7,40.418270,49.912281
415,ATM Azpetrol Mayak,atm-azpetrol-mayak,"Bakı şəh., Qaradağ rayonu, Puta mayakının Şimal-Qərb hissəsi",138,24/7,40.286095,49.733261
416,ATM Azpetrol Mərdəkan,atm-azpetrol-merdekan,"Bakı şəh., Xəzər rayonu, Qala ŞTQ Aeroport-Mərdəkan yolunun sağ tərəfi",138,24/7,40.487297,50.159813
417,ATM Azpetrol Gəncə,atm-azpetrol-gence,"Gəncə şəhəri, Kəpəz ray., Xətai pr. ilə Tağı Aranı küç. kəsişməsi",138,24/7,40.681358,46.367893
418,ATM Azpetrol Babək pr.,atm-azpetrol-babek-pr,"Bakı şəh., Babək pr., 27/76-77",138,24/7,40.391445,49.909363
419,ATM Elit Ticarət Mərkəzi,atm-elit-ticaret-merkezi,"Bakı şəh., Ə.Rəcəbli, 269",138,24/7,40.420540,49.854858
420,ATM Azpetrol Salyan,atm-azpetrol-salyan,"Salyan r-nu, Bakı-Astara yolu, 134-cü km",138,24/7,39.579185,48.968792
422,ATM Avtolux,atm-avtolux,"Bakı şəh., Üzeyir Hacıbəyli küç., 57",138,24/7,40.377926,49.858463
424,ATM Bakı MTK,atm-baki-mtk,"Bakı şəh., Ə.Əliyev, 128",138,24/7,40.410137,49.873047
425,ATM Xətai pr.,atm-xetai-pr,"Bakı şəh., Ə.Ağaoğlu küç., 1 / Xətai pr., 35",138,24/7,40.390034,49.860191
426,ATM  Azpetrol Beyləqan,atm-azpetrol-beyleqan,"Beyləqan r-nu, Beyləqan-Daşburun avtomobil yolunun sol tərəfi",138,24/7,39.755821,47.605984
427,ATM Albalı,atm-albali,"Bakı şəh., Vişnyovka qəs., Zavod küç",138,24/7,40.516109,50.116398
428,ATM Azpetrol Şıxov,atm-azpetrol-sixov,"Bakı şəh., Şıx qəs.",138,24/7,40.296883,49.755505
429,ATM Azərfon,atm-azerfon,"Bakı şəh., H. Əliyev pr., 106",138,24/7,40.416744,49.909363
